,pc1,pc2,pc3,pc4,pc5,Class
50,-37843.65213224774,-23291.534154237987,118014.80158042758,-54630.35821568198,33428.77956140045,control
51,-67258.24272682298,-10365.931500047807,-51983.48272053659,-60286.466962100814,6830.24233653604,control
52,-21891.900188795746,-70806.06158379624,-38530.37581908735,-4603.087264175464,-42727.13780085155,control
53,-47266.909927416316,10226.376477253863,-23934.09687037241,38296.43330066264,-70115.34329136557,control
54,-118273.55471499756,86897.51525225482,-48878.218822601964,-99569.69688908945,48663.08254652126,control
55,-15457.462188458976,-27538.449185259597,-8458.212932906692,46832.33475592353,-12358.061504490635,control
56,14040.845959904591,-69801.31359922368,-72088.78079638517,-2434.3979010759754,-39047.849472065245,control
57,-66856.5897231802,-40857.97650628044,-41053.921047469055,39710.40351089616,-81793.62443620779,control
58,-37866.08125204989,-85772.05050142936,-8775.645779403976,138610.30359643846,-57742.89067173548,control
59,-8390.1601233792,-58270.85200221174,-42616.31995204572,4385.038929799931,45724.48224785271,control
60,211970.82366193386,-81887.88812538832,-67818.05001660842,-2191.469730099974,11031.63418892469,control
61,18249.86742713651,33711.774197367835,-70512.86554547629,33677.605627971316,-8832.46946879906,control
62,-55347.4934073246,-14949.585974102267,-52865.918791698496,29394.87475858402,-44229.97724289242,control
63,-44877.802740661726,-174332.76621097408,121626.92153864694,156885.97355168586,124334.46130284351,control
64,159601.103634181,-74102.74280559017,25658.17877089173,-75280.7669648529,24893.759960646876,control
65,-206710.34012708615,-38062.98127447951,-17471.303275141643,-6217.039485251249,-40770.301814267455,control
66,18961.747375318017,89772.79125794003,-31559.206047716536,8833.986667871335,26739.892686284118,control
67,-13417.037766094782,-40275.440506414685,-23957.686248083948,12035.786917056075,-93890.14351692847,control
68,-155068.71863555425,-49656.539185496724,-18208.345729111796,-21075.647751552726,-19218.862086649795,control
69,67857.88751286396,-64429.82104797819,-47800.19876349332,-27951.698267462918,-2157.6573475272317,control
70,25016.867814227622,6662.755152311887,-85634.0297180902,-35925.08517111338,-25130.699281954683,control
71,54633.85130800499,6291.665496703093,-68120.35578148597,-37787.919928567135,-4863.1657351091735,control
72,-23074.161729892025,-59038.99395356873,-60211.81872772451,18570.721413916883,-14733.615086450794,control
73,-61558.654231059845,-88032.58107474417,-73369.66797058862,47246.691438605296,-10305.487142347016,control
74,1714.278183387484,-53740.483425354694,-83778.75366791204,-29712.90179359095,36228.74490647555,control
75,-20380.91447911778,9881.393539815832,-90482.82956769412,-51679.585891828465,-34834.61299203008,control
76,20587.25655064635,3365.5128635465203,-42027.69968311368,51169.594673410764,121375.87126533012,control
77,-17470.617355460516,-59355.57526420073,-79921.51412923419,-35748.47985557182,34364.91360475504,control
78,146300.8987009481,33375.903603394334,-47005.955514447785,16279.78860748905,41837.03093682415,control
79,75010.07419500506,-77012.42463282151,-55691.99353700756,63305.5373390164,32143.096066263304,control
80,112922.71662000804,-33203.63769424344,99164.30865554097,-76475.2613396394,8757.452558403695,control
81,-39521.266910433565,-57006.65763262067,90324.74442278812,-30883.833402857075,43899.36064735084,control
