,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,Class
10,-131649.7524053739,22250.750707388743,-25773.958396000384,-6958.920473676925,-27010.63546562331,1784.788691585794,91412.37543031113,-14858.888176801604,-8680.330222939227,-4227.493154341618,-2089.378713150152,-12636.762684943229,-6813.316601956571,11366.82509046146,5807.65441473106,2520.919316641621,-19504.474483323524,-2642.090942117759,-445.4503156297581,-3205.593255926071,disease
11,-65047.805961722384,180129.41688873444,-3238.592041874892,-47170.01703361551,-479.1155330867909,14023.391047752635,19034.36464156029,1455.4448319849653,18548.983552446796,-2731.2557510240827,-4600.523730816205,-132.48821730156925,7959.4570734558065,-1764.3856196212712,3265.673327860213,386.45939243596763,-4087.00820148544,1873.009396770459,7007.845661597436,-13602.437228783092,disease
12,-42597.65126385313,64948.33121772884,-5287.083064170857,46905.56714718995,-2961.026601971416,8650.808156524035,15175.664784928615,-10363.636267683845,-9514.538158359857,2604.2080199498037,-4133.442530037697,-9363.983624830154,-5756.120915029028,-5880.9907431792735,716.6439651178346,-148.79306152594137,-6874.290574181578,6536.943416325045,6258.429790588673,-2855.2349141170835,disease
13,86364.69330916244,-72102.51353724688,-42826.38723071248,8385.585774874355,-73158.48448205508,-61304.48043999867,53463.78241182716,-27216.66238865833,-23789.484172258955,7301.033107540243,-1666.5115831492076,10589.777722805917,-12539.955441437507,10022.129151847039,-11192.537744129713,4424.103224847593,-5301.184374929253,-9502.880448666308,10077.411370621867,-14894.176798606202,disease
14,-72772.20213346231,50787.88946025638,-16012.031941733829,37946.23725932588,97892.48163811861,-32775.36431470063,19996.629240139257,-6385.580537581186,-22447.582550800904,32208.818661248035,-5393.712267910051,3846.78954465267,-11401.816330122572,11741.139593105978,4682.717629451995,2338.072878029928,3516.5566015464256,745.6851578845262,-7606.89625105401,4876.2700820763075,disease
15,-71976.20185804306,3852.6579415899655,2217.2847006843517,103028.02569503983,4307.602002716307,27019.975648005224,-28143.524249533082,35808.85023323545,-19624.286825967218,11663.448440309572,15913.96593910546,13099.928751659298,16061.592832614146,5892.326264152456,11853.05741994519,-10210.91013834092,-12544.743923242067,-8974.641275355521,3249.634913918159,-6325.000724965999,disease
16,-53044.7606959152,81604.34011780996,-16091.17489842655,-33036.646777325535,-25632.437029172615,-55124.24000310012,-15831.613232763535,60663.59547784624,-1608.9900128987501,16498.56055544635,-7353.922521233521,220.7391920940329,12314.616607129681,8855.586325302624,-2543.097132195962,665.1262059734321,-1405.9516497322395,-11405.041564814763,-1607.147244077085,-4599.812530672949,disease
17,-93996.88476639245,-64423.665807795835,-12774.216141652134,51084.76799167693,82640.652507125,-29711.005515928304,-2648.981989099108,-4583.755810232746,523.568336655714,-5950.097535381146,-127.95837944939102,2387.1887230549473,9435.751485001192,1994.8977546613992,10569.6538624991,-5442.014708316201,-7810.807609695414,-4828.768923466823,-9151.264394930486,4142.690306072829,disease
18,103927.86796756956,16474.676236718802,-49935.76803941187,58360.701575232386,13265.919749106002,13054.680101105283,20792.107622023694,2424.6313331097376,-23272.34492917695,-6621.9788861250745,11229.937394610164,-13550.559845302529,1581.105056746769,-5128.476181715302,10350.182189757,725.040386727082,9189.504939232591,-6347.016648052465,-6179.021470017773,-4378.879728381692,disease
19,9451.537864346548,114114.10246252318,-29985.873682156962,22147.470275034953,59882.14337856076,-15761.350334004941,-30753.816927565484,3495.10453990283,2626.898049122608,-3778.47323741153,10801.93771916043,8052.737783377527,-8102.545319053324,1050.7058282087103,3274.212357183232,778.3338523199961,12122.838721912442,-539.6184659527554,8239.560745041832,7132.788233397916,disease
