,pc1,pc2,pc3,pc4,pc5,Class
32,37161.667492030225,140119.004474604,-61853.53455144952,23447.654706155263,-20643.333620935267,disease
33,192368.91408139488,8344.298943068481,11926.239364362951,-42623.69005720748,14784.092779873283,disease
34,119404.790971637,-33491.8903080042,79781.97967719205,38852.80916952371,12543.218147882697,disease
35,7627.550901915749,44150.94451356017,161346.8265417371,-19275.525681702868,-45161.7111508218,disease
36,-33326.50907307925,138903.48992203048,46452.21468600356,6669.748670340291,33371.940509510394,disease
37,107575.5019615817,8948.602571574082,38210.83772725703,-61819.12097650515,51833.976586302735,disease
38,70487.57819917369,28148.015831281507,56347.94537010782,-85409.55136622537,5839.540929747009,disease
39,12537.329576716658,-9239.847650215428,93891.3443333903,-114177.57484095979,-7424.4287112657785,disease
40,283509.96679807047,97123.72499107139,28851.939301738672,48867.1717524127,-50696.80854805924,disease
41,-58502.46638856611,-66571.84467206374,-64138.46110991645,-20745.69886148004,-59769.72545389924,control
42,-4052.344994003513,-54551.583366347746,-58695.71548253311,-25403.710960962064,-17577.682941013034,control
43,-31060.047548124443,-59568.686575162305,-412.78880759975266,49408.193819347005,-102775.10287280052,control
44,840.0786137277343,-32514.95634827004,-39340.59785411304,-65767.60760215018,-41941.47368693529,control
45,-91910.21135669369,-2761.6590196772095,-28919.12732086216,-10916.563055101866,39559.87026129038,control
46,123026.55715935215,-8201.524660637782,114783.02761656136,-2511.2286950782604,-53747.14172670468,control
47,26495.96761428612,8910.337903066744,106923.76317468761,-10003.717825368532,-68245.63341222983,control
48,37674.01912753978,-59332.349530454834,171261.08093798556,4539.122777564096,-73407.65642012004,control
49,-33908.34266898056,41148.49479004204,106108.51837702129,-29326.732035291137,26299.568220612913,control
50,-34312.9355473768,21556.998232101978,96028.17969906621,-39187.36558070996,41375.18609794518,control
51,-54041.098110696475,-15294.343150479548,-27411.263187496723,-21600.989923110505,-36538.60207868256,control
52,12217.244691255215,-63984.49672052533,-15301.65314934989,-31967.197231147908,-42051.15079083766,control
53,-94361.15189384707,-1349.8148600681038,22049.090104631006,49776.61507416399,-40818.42598476,control
54,-119864.33422163076,64711.39808585806,-2733.533916163497,-43308.40598278757,35644.98787106834,control
55,5452.926293868372,32622.22444939242,-12519.81383249537,58776.823755558136,29607.076894947328,control
56,111832.09768163171,-20054.77294144356,-69140.75070865174,1496.4919960741522,-31886.86576440265,control
57,-58522.31062127417,-62272.83497736113,-45374.3726859367,37612.41200609753,-86862.21664132907,control
58,118964.42243869939,-39154.535911559906,-54929.98769317092,101018.84986605747,26465.444830132004,control
59,24553.62073036687,-53362.262920868074,-59770.021583881884,-17873.692328529236,28655.48611991111,control
60,76363.51600302702,10559.597283866027,-88819.14357000252,-58378.83769627545,6872.348885479749,control
61,63386.0180586155,-7853.213154661289,-70771.60091851786,7330.17282361517,4.00810418061867,control
62,15050.693110857126,-1122.5227335490283,-47236.447782127354,54950.22835503092,-24210.76253187944,control
63,90096.40833568932,-168872.2878557694,121856.49811992321,110602.91031126125,121052.36669335696,control
64,127851.10285609122,22575.918939123076,25886.98353890055,-107773.14502725432,14968.850747830045,control
65,-29317.43870661546,-73060.19576735885,1364.9186415292015,32480.673119217983,-31916.087827085645,control
66,-123027.64601152409,19361.14305398808,30187.69645560536,2452.7374527521233,-2391.4839877229138,control
67,2979.809141528304,-50458.62220908582,-7992.749551912563,25679.395944991113,-106276.2983682474,control
68,-153649.1441393195,-114401.38062315334,30072.00326194614,-17328.23408414254,-32688.606350384456,control
69,69343.62664018774,-30976.20840311205,-43059.84131697492,-44336.47508691983,-8300.356341701774,control
70,-186851.82732308522,-38492.15811904261,-18022.265601868967,-48837.33312501212,-61065.05199695701,control
71,-17954.66678696501,24019.53460313062,-58915.96751724276,-14340.607602829097,-31224.529621918948,control
72,37420.926980908764,-31941.199585279395,-62476.65777285397,-1745.5068338866147,12406.390173154055,control
73,3273.0542492550585,-87721.66446893991,-49767.48424784098,38240.958974150926,4196.422668421087,control
74,-39957.230091583544,-51302.97156448499,-55652.91237100077,-24851.155617735778,-19167.251456553917,control
75,-66200.50093757336,-702.0206483216955,-54585.99086206926,-25835.194866281516,-54747.522869970446,control
76,30548.26926971884,9349.638339063013,-54054.11670673314,24006.7522210271,128853.81329442335,control
77,52214.33610016607,-47499.406785428524,-64773.06137752828,-18967.29189768117,25115.15867056205,control
78,79846.58048688131,58143.48896767703,-72671.75532418177,-5786.249093867302,42754.60441340088,control
